spec,geovar,term,coef,se,stat,p,n,collin,err,palier,mesure
spec3,sanction_nontrade,sanction_nontrade,0.168751125856809,0.0722337016957544,2.33618272212578,0.019481720402827,555050,"","",B,(palier commun)
spec3,n_common_sanctioners,n_common_sanctioners,0.0919244675495143,0.0331881128494885,2.76980098164669,0.00560905539552218,555050,"","",B,(palier commun)
spec4,ipd,ipd,0.0409547037600093,0.0155746693616698,2.62957131281395,0.00854925989221446,534884,"","",B,(palier commun)
spec4,polyarchy_dist,polyarchy_dist,0.0339935254834592,0.059535931082113,0.570974953538137,0.568016621004395,534884,"","",B,(palier commun)
spec4,polity_dist,polity_dist,0.00515808894008237,0.00202336109455778,2.54926762897441,0.0107949423583175,534884,"","",B,(palier commun)
spec4,sanction_nontrade,sanction_nontrade,-0.0238724814239244,0.0193196828108853,-1.23565597104285,0.216586470108614,534884,"","",B,(palier commun)
spec4,n_common_sanctioners,n_common_sanctioners,0.0300202342738498,0.0140712548198782,2.13344400752666,0.0328883202534526,534884,"","",B,(palier commun)
spec5,ipd,ipd,0.0409547037600093,0.0184710950302158,2.21723204244328,0.0266072390308124,534884,"","",B,(palier commun)
spec5,polyarchy_dist,polyarchy_dist,0.0339935254834592,0.0663030785297936,0.512699051646358,0.608161853183797,534884,"","",B,(palier commun)
spec5,polity_dist,polity_dist,0.00515808894008237,0.00231198108907525,2.23102557562247,0.0256794349353646,534884,"","",B,(palier commun)
spec5,sanction_nontrade,sanction_nontrade,-0.0238724814239244,0.0215706524273864,-1.10671114396223,0.26841883570308,534884,"","",B,(palier commun)
spec5,n_common_sanctioners,n_common_sanctioners,0.0300202342738498,0.014798699775582,2.02857242386818,0.0425018596794786,534884,"","",B,(palier commun)
spec6,ipd,ipd,0.143550572661073,0.0406970275652458,3.52729870580676,0.000419822846571031,415927,"","",B,(palier commun)
spec6,polyarchy_dist,polyarchy_dist,-0.314522986793601,0.159768660428202,-1.96861503345297,0.0489973149030183,415927,"","",B,(palier commun)
spec6,polity_dist,polity_dist,0.00427015988133837,0.00486032858007274,0.878574320848585,0.379632124210992,415927,"","",B,(palier commun)
spec6,sanction_nontrade,sanction_nontrade,0.0700209078393572,0.0555360691595572,1.2608185796907,0.207374218167061,415927,"","",B,(palier commun)
spec6,n_common_sanctioners,n_common_sanctioners,-0.00454314124428227,0.0285604924497246,-0.159070830178423,0.873613069712798,415927,"","",B,(palier commun)
spec7,ipd,ipd,0.0344890279246843,0.0155310194269658,2.22065448355583,0.0263743725347358,534616,"","",B,(palier commun)
spec7,polyarchy_dist,polyarchy_dist,0.0497884370521834,0.0615804465740197,0.808510490295611,0.41879676958573,534616,"","",B,(palier commun)
spec7,polity_dist,polity_dist,0.00506722399904958,0.00207061885501872,2.44720267410284,0.0143969855941413,534616,"","",B,(palier commun)
spec7,sanction_nontrade,sanction_nontrade,-0.0271780699665607,0.0193318932005077,-1.405866962158,0.159763633348488,534616,"","",B,(palier commun)
spec7,n_common_sanctioners,n_common_sanctioners,0.0316645537260124,0.0145791001018236,2.17191414455352,0.0298621393823918,534616,"","",B,(palier commun)
spec8,ipd,pair_nato::non:ipd,0.0412651834451949,0.0248059650725965,1.66351856597513,0.0962086776032941,534884,"","",B,(palier commun)
spec8,ipd,pair_nato::inter:ipd,0.0642199780699736,0.0208622034020538,3.07829316167301,0.00208189997076467,534884,"","",B,(palier commun)
spec8,ipd,pair_nato::intra:ipd,-0.00339877560572865,0.0236932895169584,-0.143448869912976,0.885935689419668,534884,"","",B,(palier commun)
spec8,polyarchy_dist,pair_nato::non:polyarchy_dist,0.0889254411745932,0.0745431948627352,1.19293842098318,0.232893490653742,534884,"","",B,(palier commun)
spec8,polyarchy_dist,pair_nato::inter:polyarchy_dist,-0.0277491517299943,0.078703326477161,-0.35257914718569,0.724403972995612,534884,"","",B,(palier commun)
spec8,polyarchy_dist,pair_nato::intra:polyarchy_dist,-0.0222082953837318,0.11553002252925,-0.192229646437653,0.847562324430415,534884,"","",B,(palier commun)
spec8,polity_dist,pair_nato::non:polity_dist,0.00285606426713529,0.00253798783427734,1.12532622440584,0.26045082097417,534884,"","",B,(palier commun)
spec8,polity_dist,pair_nato::inter:polity_dist,0.00851068091762842,0.00266323111079772,3.19562237130792,0.00139529600030033,534884,"","",B,(palier commun)
spec8,polity_dist,pair_nato::intra:polity_dist,0.0058991735633623,0.00474820019126913,1.24240203144963,0.214088266491869,534884,"","",B,(palier commun)
spec8,sanction_nontrade,pair_nato::non:sanction_nontrade,0.0399665849499658,0.0526479919844633,0.759128381605894,0.447775762784826,534884,"","",B,(palier commun)
spec8,sanction_nontrade,pair_nato::inter:sanction_nontrade,-0.0332371250559405,0.0212267887230753,-1.56581033002929,0.117393027157621,534884,"","",B,(palier commun)
spec8,sanction_nontrade,pair_nato::intra:sanction_nontrade,-0.0242183234696479,0.0244972202545237,-0.988615166048304,0.322851463124459,534884,"","",B,(palier commun)
spec8,n_common_sanctioners,pair_nato::non:n_common_sanctioners,0.00215459951769151,0.0220175239329788,0.0978583933529539,0.922044738648982,534884,"","",B,(palier commun)
spec8,n_common_sanctioners,pair_nato::inter:n_common_sanctioners,0.0406263425798598,0.0137272925031652,2.95953062634109,0.00308108075153878,534884,"","",B,(palier commun)
spec8,n_common_sanctioners,pair_nato::intra:n_common_sanctioners,0.0640011004911194,0.0117896513172518,5.42858298086109,5.68032344638012e-08,534884,"","",B,(palier commun)
spec9,ipd,pair_nato::non:ipd,0.137287496018151,0.0550156534666287,2.49542607180748,0.0125805967336037,415927,"","",B,(palier commun)
spec9,ipd,pair_nato::inter:ipd,0.201221259730765,0.0493834043030748,4.07467372026103,4.60789055309606e-05,415927,"","",B,(palier commun)
spec9,ipd,pair_nato::intra:ipd,0.0621243865495677,0.0736237962392688,0.843808520110409,0.398776413672322,415927,"","",B,(palier commun)
spec9,polyarchy_dist,pair_nato::non:polyarchy_dist,-0.448090034660963,0.200913431313703,-2.2302642074801,0.0257299078793223,415927,"","",B,(palier commun)
spec9,polyarchy_dist,pair_nato::inter:polyarchy_dist,-0.283289311463394,0.189392616632482,-1.49577801131034,0.134711513256539,415927,"","",B,(palier commun)
spec9,polyarchy_dist,pair_nato::intra:polyarchy_dist,0.158560086677582,0.399669900060095,0.396727616099537,0.691568333166036,415927,"","",B,(palier commun)
spec9,polity_dist,pair_nato::non:polity_dist,0.00198368948613761,0.00502048555492789,0.395119050624597,0.692755030009728,415927,"","",B,(palier commun)
spec9,polity_dist,pair_nato::inter:polity_dist,0.0108679601738717,0.00696697281650818,1.55992573246735,0.118777432707823,415927,"","",B,(palier commun)
