variable,n_sample,n_estim,year_min,year_max,control,coef,se,p,collin
ipd,1031492,965872,1995,2024,"",-0.0662976130881277,0.0318226700561629,0.0372197518074421,""
polyarchy_dist,838286,805994,1995,2024,"",-0.0407634379221779,0.0617035969462837,0.508847642827664,""
polity_dist,563942,534884,1995,2018,"",0.00515808894008236,0.00202336109455778,0.0107949423583179,""
allied_atop,817916,752739,1995,2018,"",0.0227870560367428,0.0248397026857933,0.358951782577372,""
shared_rival_mid,674276,607569,1995,2014,mid_direct,0.0221832472578446,0.00829638944263383,0.00749874292009311,""
sanction_nontrade,996710,932281,1995,2023,"",-0.0804905039112696,0.019821194557827,4.88985424861935e-05,""
n_common_sanctioners,996710,932281,1995,2023,"",0.0732621124254687,0.0173517909529828,2.41967614124181e-05,""
