status,pre-2014,2014-2021,2022-2024
Condemn + sanction,6253452.80741371,8687973.36749418,4433515.25857364
Condemn only,340981.92782511,739677.290714843,974067.618979167
Neither,1508256.48924252,3786922.84092893,6860353.32709805
condemner: 0,1508256.48924252,3786922.84092893,6860353.32709805
condemner: 1,2170019.68194245,3198502.69576169,2044256.4571271
sanctioner: 0,615751.137920911,1454435.60378877,2441060.91543316
sanctioner: 1,6253452.80741371,8687973.36749418,4433515.25857364
