Period,Active pairs,Trade (Bn USD),Strategic (Bn USD),Strategic share (%),Trade/GDP (%),Mean IPD
1995-2004,36430,63741.640135419,3419.974407681,5.36536932594654,18.5291968077135,0.973417738690504
2005-2014,41004,152666.583865761,8768.201301875,5.74336641316664,23.331161844665,0.879095445706427
2015-2024,40913,195591.415748891,12702.642425976,6.49447849096007,21.5845371070656,0.844133582300076
