NATO pair,N obs,N pairs,Mean trade (k USD),Mean strategic (k USD),Mean strategic share,Mean IPD,Mean distance (km)
intra,18936,992,5655044.96079969,330131.496793462,0.0432857912796352,0.305017614723278,2184.19476130123
inter,308508,13438,517979.36375413,33669.0938920547,0.0409710082678819,1.44357257513781,7499.24885539807
non,1266456,46010,114583.476109165,6516.02842404395,0.0283304064587755,0.738526729047855,8910.97765068367
