lag,coef,se,t_stat,F_stat,N
0,0.607058147433859,0.000939023369229516,646.47821058166,417934.076756865,998402
1,0.379977154935752,0.00152927612185263,248.46863787779,61736.6640088445,956820
2,0.28701399192515,0.0017029215328875,168.542112118627,28406.4435574079,921070
3,0.215492276867792,0.00182994054793998,117.759168247503,13867.2217063438,886940
5,0.117394195577942,0.0017472333470462,67.1886189537322,4514.31051690983,820394
