lag,coef,se,ci_lo,ci_hi
0,0.0225265102399156,0.018055711725949,-0.0128626847429445,0.0579157052227758
1,0.0489032543061616,0.0300821503654726,-0.0100577604101647,0.107864269022488
2,0.124419495338657,0.039074456803703,0.0478335600033994,0.201005430673915
3,0.204343089059836,0.0571437050273717,0.0923414272061869,0.316344750913484
5,0.455674838277715,0.101432374831133,0.256867383608693,0.654482292946736
