Panel,Variable,N,Mean,SD,Min,P10,Median,P90,Max
(A) All pair-years,ipd,515746,0.896050084382865,0.722677480164848,7.49999999999362e-06,0.10075285,0.7297071,1.86578475,5.145046
(A) All pair-years,ipd^2,515746,1.32516748142439,1.88863975325667,5.62499999999043e-11,0.010151136784685,0.53247245179141,3.48115273337679,26.471498342116
(A) All pair-years,Within-pair SD of IPD,,0.269251303706183,,,,,,
(B) Pair-years with trade > 0,ipd,354036,0.95119051693323,0.74013930011534,8.000000000008e-06,0.10270738,0.8374888195,1.9226037,5.085434
(B) Pair-years with trade > 0,ipd^2,354036,1.45256803576119,1.94574735143428,6.4000000000128e-11,0.0105488059065668,0.701387522794163,3.69640498734205,25.861638968356
(B) Pair-years with trade > 0,Within-pair SD of IPD,,0.237223641021833,,,,,,
