Period,Mean IPD (all),Inter-NATO,Intra-NATO,Non-NATO
1995-2004,0.973417738690498,1.52321663024173,0.356354354638554,0.853648393370264
2005-2014,0.87909544570642,1.39142369977634,0.305251849383408,0.721797442602852
2015-2024,0.844133582300079,1.44223983226495,0.284721686061321,0.640115780401503
