term,estimate,se,stat,p,model,N
treated_post,-0.0528967874739018,0.0285135977838104,-1.85514251393193,0.0635758781478408,static_treated_post,1292544
rta,0.0787219999678601,0.030409756687386,2.58870864299004,0.00963365664950683,static_treated_post,1292544
sanction_any,-0.0916488284352691,0.0163451675488343,-5.60709017888319,2.05756468923863e-08,contrast_any,1246605
rta,0.0618794118162068,0.0311598887912151,1.98586754371384,0.0470480334312999,contrast_any,1246605
sanction_trade,-0.12710988503949,0.023825908527447,-5.33494388652846,9.55741088030347e-08,contrast_trade_nontrade,1246605
sanction_nontrade,-0.0425764683197611,0.0180141376269632,-2.3635029997791,0.018103080099557,contrast_trade_nontrade,1246605
rta,0.0608490520042592,0.0313751247569712,1.93940430438414,0.0524521268139001,contrast_trade_nontrade,1246605
