family,label,N,n_inst,KP_rk_F,Effective_F,Wald_joint_F,Hansen_J,Hansen_p
institutional,institutional (V-Dem + DPI),228354,3,60.3537119823702,4.64085655541448,60.3539762824331,12.6069772418542,0.00182990976712381
strategic_relations,strategic_relations (ATOP + MID),674276,3,274.591877055913,359.618539997599,274.592284296162,90.9622175409377,1.76931610295955e-20
combined,combined (institutional + strategic),163322,6,,6.54514887811882,40.8896110954004,74.5877558945634,1.13407699638803e-14
Polity robustness,institutional Polity (Polity5 + DPI),164922,2,73.2018342432507,3.61255332049145,73.2022781032496,0.0889112448157794,0.765565872056175
