bucket,direction,att,se,p
total,RUS_exportateur,-0.695720554041042,0.109521092799604,2.11996786174441e-10
embargo,RUS_exportateur,-0.758213465029404,0.130919774477634,6.97872470425326e-09
strategic_ne,RUS_exportateur,-0.104476519433522,0.214389402328603,0.626030664799959
nonstrat_ne,RUS_exportateur,-0.46657067842989,0.131292525184905,0.000379891503407445
total,RUS_importateur,-0.565593420202669,0.0774212701350054,2.76441164739669e-13
embargo,RUS_importateur,-0.788968542746518,0.1418321897165,2.65647126236764e-08
strategic_ne,RUS_importateur,-0.265154003495513,0.171665313219675,0.122443383600725
nonstrat_ne,RUS_importateur,-0.54069438711758,0.0735716792848204,1.99368228986223e-13
