bucket,direction,att_with_endpoint,att_no_endpoint,delta,mean_near_lead,ratio_lead_to_att
nonstrat_ne,RUS_importateur,-0.54069438711758,-0.540414951111207,0.00027943600637248,0.0424309377780316,0.0784748996641693
nonstrat_ne,RUS_exportateur,-0.46657067842989,-0.464168980876461,0.00240169755342973,0.0690861993572,0.148072312623009
embargo,RUS_exportateur,-0.758213465029404,-0.729204086503702,0.0290093785257027,0.151764823176764,0.200161076235804
embargo,RUS_importateur,-0.788968542746518,-0.809824425094229,-0.020855882347711,-0.110090807664705,0.139537638955113
