model,term,rel_time,estimate,se,ci_lo,ci_hi
Aprime_ppml_pkey,event_time,-5,-0.0155956162076599,0.0436960197430863,-0.101239814904109,0.0700485824887892
Aprime_ppml_pkey,event_time,-4,-0.00302255366682602,0.0348233879194335,-0.0712763939889157,0.0652312866552637
Aprime_ppml_pkey,event_time,-3,0.0172427574139347,0.0245578167931459,-0.0308905635006313,0.0653760783285007
Aprime_ppml_pkey,event_time,-2,0.0173937998077891,0.0194842022717139,-0.0207952366447702,0.0555828362603483
Aprime_ppml_pkey,event_time,0,-0.119977676799882,0.0204938525810723,-0.160145627858784,-0.0798097257409807
Aprime_ppml_pkey,event_time,1,-0.0877155484171324,0.0175397773883938,-0.122093512098384,-0.0533375847358806
Aprime_ppml_pkey,event_time,2,-0.120247531819142,0.0229796306197068,-0.165287607833767,-0.075207455804517
Aprime_ppml_pkey,event_time,3,-0.145441480566559,0.0269793453264512,-0.198320997406403,-0.0925619637267144
Aprime_ppml_pkey,event_time,4,-0.164629257994219,0.0387239115069012,-0.240528124547745,-0.0887303914406926
Aprime_ppml_pkey,event_time,5,-0.4591021481655,0.0868471803686011,-0.629322621687958,-0.288881674643042
Aprime_ppml_pkey,ATT,,-0.305884861079856,0.0523751124788352,-0.408540081538373,-0.203229640621339
