composition,annee_max_coupure,annee_min_obs,annee_max_obs,N_sample,N_estim,coef_ipd,se_ipd,p_ipd
palier_C_fixe,2014,1995,2014,549280,512570,0.0415589074179718,0.0180286229914675,0.0211574687107675
palier_C_fixe,2018,1995,2018,665560,631374,0.0418756944294782,0.0152800079083995,0.00613356089093411
palier_C_fixe,2023,1995,2023,810230,778448,-0.0230895667802138,0.0218386639337987,0.290384148788456
