term,estimate,se,stat,p,model
ipd,0.124419495338657,0.039074456803703,3.18416442648708,0.00145172524396313,Euclidean_L2
v_hat,-0.143413776511094,0.0332687943694556,-4.31075965418103,1.62694664294523e-05,Euclidean_L2
rta,0.0814625570895208,0.0204917767265326,3.97537793704553,7.02675772104053e-05,Euclidean_L2
ipd,0.15447800784379,0.0401868945982192,3.84398967345528,0.000121050101503522,Three_IVs
v_hat_3iv,-0.174857447682942,0.0359444110579419,-4.86466303206565,1.14651969154564e-06,Three_IVs
rta,0.082810064230116,0.0205090202809369,4.03773866795032,5.39689262051573e-05,Three_IVs
ipd,-1.24473806330095,0.360318582592068,-3.45454862290622,0.000551214812422817,Pre_sample_1995
v_hat_pre,1.26444546487206,0.361241614430086,3.50027630915922,0.000464776130751279,Pre_sample_1995
