variable,mean_commun,mean_reste,median_commun,median_reste,smd
log_dist,8.68070340970563,8.81288958390482,8.82893352896109,8.98931956604295,-0.16942225359206
comlang_off,0.126780178615624,0.173368618783734,0,0,-0.13072532436615
exp_gdppc,11334.5520388525,13217.7091376093,3835.250119393,5764.99055491104,-0.108636384660999
imp_gdppc,11334.5520388525,13217.7091376093,3835.250119393,5764.99055491104,-0.108636384660999
contig,0.021913762799458,0.0124821078970424,0,0,0.0725942434148152
ipd,0.92144924813371,0.874219442836409,0.761639,0.7032582,0.0652856709513335
rta,0.3364710620037,0.312640387659226,0,0,0.0509139963536782
colony,0.00761360633250695,0.00611846825571376,0,0,0.0181067988293361
trade_value,405602.250348779,331691.285465539,536,43.6275,0.01665127540491
