period,estimate,se,ci_lo,ci_hi
1995-2007,0.00165244804603174,0.0254822247800184,-0.0482927125228043,0.0515976086148678
2008-2013,-0.0405416661225992,0.0240190601934392,-0.08761902410174,0.00653569185654156
2014-2017,-0.0942784599325825,0.0242747708520583,-0.141857010802617,-0.0466999090625483
2018-2021,-0.144026903779887,0.0268248458372017,-0.196603601620802,-0.0914502059389716
2022-2024,-0.212353527994579,0.036814504961838,-0.284509957719782,-0.140197098269377
