cell,year,estimate,se,ci_lo,ci_hi,p
a_both,2016,0.104707665805488,0.0846360189674562,-0.061178931370726,0.270594262981702,0.216030457439798
a_both,2017,0.153644595772093,0.0691472912015017,0.0181159050171499,0.289173286527037,0.0262839753595207
a_both,2018,0.112648131529285,0.0596819570083258,-0.00432850420703394,0.229624767265603,0.0590966240371123
a_both,2019,0.0951596064559022,0.0410474341495522,0.01470663552278,0.175612577389024,0.0204338958610811
a_both,2020,-0.071708645219437,0.0416673938828567,-0.153376737229836,0.00995944679096204,0.0852549161585961
a_both,2022,-0.51109680864413,0.161709158635874,-0.828046759570442,-0.194146857717817,0.0015744842042816
a_both,2023,-1.61119349192605,0.23400845567216,-2.06985006504348,-1.15253691880861,5.77090485307408e-12
b_condemn_only,2016,-0.050103646244017,0.10205775001877,-0.250136836280806,0.149929543792772,0.623472942929369
b_condemn_only,2017,0.00149651359848153,0.0870369900593886,-0.16909598691792,0.172089014114883,0.986281852534529
b_condemn_only,2018,0.0820184488082556,0.074845961275745,-0.0646796352922046,0.228716532908716,0.273153182651834
b_condemn_only,2019,-0.00492358775020996,0.0546845913871515,-0.112105386869027,0.102258211368607,0.928258521680949
b_condemn_only,2020,-0.0489402066625473,0.0527744495434089,-0.152378127767629,0.0544977144425341,0.353746603562134
b_condemn_only,2022,-0.307925075464126,0.179557280298494,-0.659857344849174,0.044007193920922,0.0863612184309891
b_condemn_only,2023,-0.418081775365064,0.224647892191389,-0.858391644060187,0.0222280933300584,0.0627366034787082
non_russia,2016,0.0916720200942942,0.248158557098893,-0.394718751819536,0.578062792008125,0.71182284356179
non_russia,2017,0.159261114936809,0.208395419874663,-0.24919390801753,0.567716137891148,0.444732812939698
non_russia,2018,0.215509763394058,0.163247781991301,-0.104455889308892,0.535475416097008,0.186788614311434
non_russia,2019,0.0389993677423278,0.0923479734540308,-0.142002660227573,0.220001395712228,0.672799589222903
non_russia,2020,0.0466180831887358,0.0782432405421272,-0.106738668273833,0.199974834651305,0.551302350009885
non_russia,2022,-0.184740775843063,0.325845074743785,-0.823397122340881,0.453915570654756,0.570742083240517
non_russia,2023,0.212806834311712,0.625720968011782,-1.01360626299138,1.4392199316148,0.733782265092293
