cell,year,estimate,se,ci_lo,ci_hi,p
a_both,2016,0.104707665805488,0.0846360189674552,-0.0611789313707243,0.2705942629817,0.216030457439794
a_both,2017,0.153644595772091,0.0691472912015009,0.018115905017149,0.289173286527033,0.0262839753595213
a_both,2018,0.112648131529284,0.0596819570083258,-0.0043285042070348,0.229624767265602,0.0590966240371143
a_both,2019,0.0951596064559032,0.041047434149552,0.0147066355227813,0.175612577389025,0.0204338958610793
a_both,2020,-0.0717086452194389,0.0416673938828553,-0.153376737229835,0.00995944679095755,0.0852549161585779
a_both,2022,-0.511096808644131,0.161709158635874,-0.828046759570444,-0.194146857717818,0.00157448420428154
a_both,2023,-1.61119349192605,0.23400845567216,-2.06985006504348,-1.15253691880862,5.77090485307412e-12
b_condemn_only,2016,-0.0501036462440203,0.102057750018769,-0.250136836280808,0.149929543792767,0.623472942929343
b_condemn_only,2017,0.00149651359847711,0.0870369900593873,-0.169095986917922,0.172089014114876,0.986281852534569
b_condemn_only,2018,0.0820184488082512,0.0748459612757445,-0.0646796352922081,0.22871653290871,0.273153182651856
b_condemn_only,2019,-0.00492358775020829,0.0546845913871523,-0.112105386869027,0.10225821136861,0.928258521680974
b_condemn_only,2020,-0.0489402066625522,0.0527744495434077,-0.152378127767631,0.0544977144425269,0.353746603562075
b_condemn_only,2022,-0.307925075464128,0.179557280298494,-0.659857344849176,0.0440071939209202,0.0863612184309874
b_condemn_only,2023,-0.418081775365071,0.22464789219139,-0.858391644060195,0.022228093330052,0.0627366034787042
non_russia,2016,0.0916720200942863,0.248158557098892,-0.394718751819542,0.578062792008115,0.711822843561813
non_russia,2017,0.159261114936803,0.208395419874664,-0.249193908017537,0.567716137891144,0.444732812939716
non_russia,2018,0.215509763394048,0.163247781991301,-0.104455889308901,0.535475416096997,0.186788614311454
non_russia,2019,0.0389993677423248,0.0923479734540302,-0.142002660227574,0.220001395712224,0.672799589222925
non_russia,2020,0.0466180831887297,0.0782432405421267,-0.106738668273839,0.199974834651298,0.551302350009935
non_russia,2022,-0.184740775843062,0.325845074743786,-0.823397122340883,0.453915570654759,0.57074208324052
non_russia,2023,0.212806834311702,0.625720968011783,-1.01360626299139,1.4392199316148,0.733782265092307
