term,estimate,se,stat,p,model,N
treated_post,-0.580660608167186,0.0740519252532041,-7.84126281905225,4.46037769984458e-15,static_treated_post,681662
rta,0.103248408730859,0.0265562484988525,3.8879139399272,0.000101109460987225,static_treated_post,681662
treated_post,-0.547760300431702,0.0788781350518071,-6.94438706077334,3.80107021993227e-12,static_treated_post_anyctrl,681662
rta,0.0995520125021945,0.0271033499191694,3.67305195848813,0.000239670726378488,static_treated_post_anyctrl,681662
under_any_sanction,-0.034256267952938,0.0178566510589401,-1.91840383954792,0.0550598245880508,static_treated_post_anyctrl,681662
rus_tr,-0.0663556479721758,0.167224035898003,-0.396806880158358,0.69150987675781,type_contrast_dir,681662
rus_nt,-0.481320203568688,0.140141391683945,-3.43453277996688,0.00059357627591187,type_contrast_dir,681662
rta,0.0996187373461165,0.0271010117019805,3.67583094098427,0.000237076488415955,type_contrast_dir,681662
under_any_sanction,-0.0340596262117279,0.0178599340193797,-1.90704098765259,0.0565152800188707,type_contrast_dir,681662
