term,estimate,se,stat,p,model,N
cell_2022::a_both:post2022,-1.2813604983134,0.183099765639888,-6.9981547700805,2.59355504565928e-12,did_2x2_cell_x_post2022,681662
cell_2022::b_condemn_only:post2022,-0.43978404697939,0.199758435944796,-2.20157934707161,0.0276950361278462,did_2x2_cell_x_post2022,681662
cell_2022::non_russia:post2022,-0.124676059355727,0.599110098529252,-0.208102082842189,0.835149260889151,did_2x2_cell_x_post2022,681662
rta,0.0953523129078523,0.0270366868667016,3.52677505857007,0.000420653977815578,did_2x2_cell_x_post2022,681662
under_any_sanction,-0.0719967713549665,0.017608651832597,-4.08871570858632,4.33768069638115e-05,did_2x2_cell_x_post2022,681662
