model,term,estimate,se_pair,p_pair,se_boot,ci_lo,ci_hi,p_boot,n_draws_ok,fail_rate,n_focal_zero
static_treated_post,treated_post,-0.580660608167186,0.0740519252532042,4.4603776998448e-15,0.0835485417959782,-0.719479547662665,-0.394294961802488,0,132,0.34,68
type_contrast_dir,rus_tr,-0.0663556479722275,0.167224035897987,0.691509876757554,0.258063228952037,-0.605295800077617,0.342108655817812,0.810606060606061,132,0.34,68
type_contrast_dir,rus_nt,-0.481320203568665,0.140141391683927,0.000593576275911273,0.177741564515397,-0.825448013520671,-0.215260865868358,0,110,0.45,68
did_2x2_cell_x_post2022,cell_2022::a_both:post2022,-1.2813604983134,0.183099765639887,2.59355504565905e-12,0.360824981173401,-1.67687854421797,-0.359309679809857,0.00757575757575758,132,0.34,68
did_2x2_cell_x_post2022,cell_2022::b_condemn_only:post2022,-0.439784046979387,0.199758435944795,0.0276950361278466,0.399689012468417,-0.971665703038987,0.550736953659615,0.204545454545455,132,0.34,68
