term,estimate,se,stat,p,model,N
align_f::-1:post2022,1.23450174351841,0.776673017799014,1.58947422561018,0.111953368555897,did_2x2_align2022,681662
align_f::1:post2022,1.47228319995589,0.540189778820737,2.72549251703718,0.00642056318147386,did_2x2_align2022,681662
align_f::2:post2022,0.266046644487551,0.532447891739524,0.499667007072502,0.61730956749564,did_2x2_align2022,681662
rta,0.0959809939364272,0.0270698149513782,3.54568341559869,0.000391596359665655,did_2x2_align2022,681662
under_any_sanction,-0.0781350148087699,0.0178540827466148,-4.37631078099403,1.20704880234218e-05,did_2x2_align2022,681662
